Customer_ID,Name,Email,Phone,Country,Age,Income,Join_Date
681,Heather Davila,igill@bryant-roberts.com,001-857-363-5728x7886,Inda,N/A,54349.0,2019-04-01
1103,Margaret Campbell,bergjack@martinez-reeves.com,,India,,,15-03-2022
395,Veronica Wilson,jeffreychavez@gmail.com,664-303-1980x024,United States,80,,2021/07/15
931,Matthew Mcguire,angelahorne@cordova.com,(593)187-8319x8297,India,N/A,186523.0,2018-02-22 16:56:46
498,Anne Gentry,april19@dawson.com,650.600.0111,Pak,,156760.0,2021/07/15
463,Peter Washington,susan83@hotmail.com,(367)511-2010,Germany,,132224.0,2021/07/15
951,William Sanchez,ucastillo@gmail.com,986.426.5541,United States,,87619.0,2018-08-11
82,Andrew Schwartz,canderson@martin-young.com,2296159830,USA,77,,2021/07/15
44,Becky May,carolyn45@hotmail.com,001-646-886-3933x51497,UK,N/A,183939.0,2025-09-29
129,John Moore,linda71@rogers.com,,United States,,38668.0,15-03-2022
1171,Courtney Lang,tylerstrickland@garcia.org,001-704-935-2301x685,United Kngdom,51,,2021/07/15
744,Marcia Bryant,torresamy@boone.org,910.406.2538,UAS,42,,2017-10-21 19:03:45
514,Michael Richardson Jr.,jacquelinepalmer@yahoo.com,,United States,,,2023-08-22
462,Robert Anderson,farrellamy@henson.com,001-342-327-7389x327,Germny,,25650.0,2023-01-04 09:43:45
1168,Matthew Zimmerman,bonddaniel@gmail.com,156-073-1269x0571,United Kngdom,,41933.0,2024-03-25
653,Jason Cruz,jsingh@kelly.com,+1-919-120-2963,USA,N/A,,2022-08-24 21:16:31
1051,Teresa Madden,wilsonjoshua@williams.com,353.631.8955x1491,Germany,,37453.0,2006-12-14 15:35:33
946,Michael Andrews MD,asummers@garcia-henry.org,605.064.6046x13179,USA,,120258.0,2003-08-13 07:38:18
1044,Sarah Cruz,,1686767173,Pakistan,,,2021/07/15
1140,Jessica Collins,perezthomas@hotmail.com,,UAS,40,162615.0,2012-03-20 19:22:04
210,James Butler,rubiorichard@gmail.com,+1-966-469-8372x05215,Canada,79,,15-03-2022
943,Bethany Rogers,valeriepeters@warner.com,(432)904-3822,Germny,,117878.0,2021/07/15
1119,Susan Williams,bcole@yahoo.com,001-533-001-1402x279,Germny,22,162941.0,2021-04-01
779,Victoria Kent,hintoncrystal@hotmail.com,+1-039-476-2128x254,UAS,,3846.0,2022-10-13
271,Tristan Cervantes,xjones@yahoo.com,+1-131-683-5521,Pak,N/A,,2021/07/15
619,Kristen Gill,corey65@woodard.com,(077)317-5288x878,UAS,45,,15-03-2022
244,Ricky Hubbard,josephdickerson@gmail.com,+1-840-852-6498x467,Canda,42,,2021/07/15
629,Timothy Jordan,uflores@moore.com,+1-292-557-0220x285,Germany,,-3475.0,15-03-2022
821,Karen Rose,douglasgonzalez@davidson.com,180-661-9083x5533,Inda,28,,2021/07/15
1067,Michael Kidd,fergusonnicole@johnson.net,,Pakistan,,,2016-01-26
709,Christine Beltran,hoopersamuel@hodges.com,812.054.5423,Canada,40,37071.0,2021/07/15
877,Kimberly Holloway,epayne@myers.com,590-403-2518x03661,UAS,N/A,30442.0,2015-01-04 19:26:46
651,Jeremy Galvan,victoriaruiz@wilson.com,,USA,69,,15-03-2022
171,Bryan Perry,bradley96@gmail.com,+1-019-727-4586,Germny,42,22119.0,2024-04-01
895,Alex Mckinney,yjohnson@gmail.com,449-775-5318x6274,United Kngdom,35,36398.0,2021/07/15
1148,Jennifer Cole,pmcguire@hotmail.com,519.441.5204x568,United States,41,,2016-01-17
425,Elizabeth Lee,markobrien@yahoo.com,799-639-4214x4865,UAS,N/A,-3026.0,2015-03-12 23:13:08
763,Emily Weaver,ugonzalez@hotmail.com,098-974-6997x68371,Pakistan,72,42231.0,2021/07/15
175,Corey Robinson,johngordon@lewis.com,374-508-9571x41979,Inda,,199648.0,2021-01-11
814,Aaron Klein,,(833)167-6015x155,United Kngdom,N/A,22191.0,2017-09-20
410,Justin Lopez,,+1-942-900-5358x50775,UAS,N/A,8295.0,15-03-2022
965,Steven Farmer,drojas@hotmail.com,707-923-3750x59651,UK,64,,2021/07/15
1157,James Williams,owood@obrien-thomas.com,637.667.3328x0193,United States,60,11850.0,15-03-2022
523,Michael Green,rushangela@hotmail.com,(059)314-7535x516,Canda,N/A,,2022-06-10
428,Christina Phillips,jim90@burton.com,(247)915-5869x3971,UK,N/A,,15-03-2022
436,Jesus Wilson,amberspencer@kirk-francis.com,+1-449-909-5372x44376,USA,,40799.0,15-03-2022
